"","animal","iron","infect","weight","day","txt","logweight"
"34","A02","NoIron","NonInfected",295,380,1,5.68697535633982
"35","A02","NoIron","NonInfected",320,445,1,5.76832099579377
"36","A02","NoIron","NonInfected",330,478,1,5.79909265446053
"37","A02","NoIron","NonInfected",355,508,1,5.87211778947542
"38","A02","NoIron","NonInfected",360,536,1,5.88610403145016
"39","A02","NoIron","NonInfected",355,569,1,5.87211778947542
"40","A02","NoIron","NonInfected",370,599,1,5.91350300563827
"41","A02","NoIron","NonInfected",390,627,1,5.96614673912369
"42","A02","NoIron","NonInfected",400,655,1,5.99146454710798
"43","A02","NoIron","NonInfected",410,668,1,6.01615715969835
"44","A02","NoIron","NonInfected",440,723,1,6.08677472691231
"45","A02","NoIron","NonInfected",445,751,1,6.09807428216624
"46","A02","NoIron","NonInfected",470,781,1,6.1527326947041
"47","A03","NoIron","NonInfected",130,122,1,4.86753445045558
"48","A03","NoIron","NonInfected",150,150,1,5.01063529409626
"49","A03","NoIron","NonInfected",170,166,1,5.13579843705026
"50","A03","NoIron","NonInfected",180,179,1,5.19295685089021
"51","A03","NoIron","NonInfected",195,219,1,5.27299955856375
"52","A03","NoIron","NonInfected",205,247,1,5.32300997913841
"53","A03","NoIron","NonInfected",225,276,1,5.41610040220442
"54","A03","NoIron","NonInfected",235,296,1,5.45958551414416
"55","A03","NoIron","NonInfected",250,324,1,5.52146091786225
"56","A03","NoIron","NonInfected",265,354,1,5.57972982598622
"57","A03","NoIron","NonInfected",275,380,1,5.61677109766657
"58","A03","NoIron","NonInfected",295,445,1,5.68697535633982
"59","A03","NoIron","NonInfected",305,478,1,5.72031177660741
"60","A03","NoIron","NonInfected",315,508,1,5.75257263882563
"61","A03","NoIron","NonInfected",325,536,1,5.78382518232974
"62","A03","NoIron","NonInfected",325,569,1,5.78382518232974
"63","A03","NoIron","NonInfected",325,599,1,5.78382518232974
"64","A03","NoIron","NonInfected",335,627,1,5.81413053182507
"65","A03","NoIron","NonInfected",340,655,1,5.82894561761021
"66","A03","NoIron","NonInfected",355,668,1,5.87211778947542
"67","A03","NoIron","NonInfected",375,723,1,5.92692602597041
"68","A03","NoIron","NonInfected",365,751,1,5.89989735358249
"69","A03","NoIron","NonInfected",400,781,1,5.99146454710798
"70","A04","NoIron","NonInfected",125,122,1,4.8283137373023
"71","A04","NoIron","NonInfected",150,150,1,5.01063529409626
"72","A04","NoIron","NonInfected",170,166,1,5.13579843705026
"73","A04","NoIron","NonInfected",180,179,1,5.19295685089021
"74","A04","NoIron","NonInfected",195,219,1,5.27299955856375
"75","A04","NoIron","NonInfected",210,247,1,5.34710753071747
"76","A04","NoIron","NonInfected",230,276,1,5.4380793089232
"77","A04","NoIron","NonInfected",260,296,1,5.56068163101553
"78","A04","NoIron","NonInfected",255,324,1,5.54126354515843
"79","A04","NoIron","NonInfected",270,354,1,5.59842195899838
"80","A04","NoIron","NonInfected",290,380,1,5.66988092298052
"81","A04","NoIron","NonInfected",249.884797086018,445,1,5.521
"82","A04","NoIron","NonInfected",310,478,1,5.73657229747919
"83","A04","NoIron","NonInfected",345,508,1,5.84354441703136
"84","A04","NoIron","NonInfected",350,536,1,5.85793315448346
"85","A04","NoIron","NonInfected",355,569,1,5.87211778947542
"86","A04","NoIron","NonInfected",360,599,1,5.88610403145016
"87","A04","NoIron","NonInfected",375,627,1,5.92692602597041
"88","A04","NoIron","NonInfected",380,655,1,5.94017125272043
"89","A04","NoIron","NonInfected",395,668,1,5.97888576490112
"90","A04","NoIron","NonInfected",425,723,1,6.05208916892442
"91","A04","NoIron","NonInfected",415,751,1,6.0282785202307
"92","A04","NoIron","NonInfected",455,781,1,6.12029741895095
"93","A05","Iron","NonInfected",120,122,2,4.78749174278205
"94","A05","Iron","NonInfected",145,150,2,4.97673374242057
"95","A05","Iron","NonInfected",155,166,2,5.04342511691925
"96","A05","Iron","NonInfected",170,179,2,5.13579843705026
"97","A05","Iron","NonInfected",165,219,2,5.10594547390058
"98","A05","Iron","NonInfected",200,247,2,5.29831736654804
"99","A05","Iron","NonInfected",200,276,2,5.29831736654804
"100","A05","Iron","NonInfected",215,296,2,5.37063802812766
"101","A05","Iron","NonInfected",230,324,2,5.4380793089232
"102","A05","Iron","NonInfected",245,354,2,5.50125821054473
"103","A05","Iron","NonInfected",260,380,2,5.56068163101553
"104","A05","Iron","NonInfected",285,445,2,5.65248918026865
"105","A05","Iron","NonInfected",290,478,2,5.66988092298052
"106","A05","Iron","NonInfected",310,508,2,5.73657229747919
"107","A05","Iron","NonInfected",325,536,2,5.78382518232974
"108","A05","Iron","NonInfected",320,569,2,5.76832099579377
"109","A05","Iron","NonInfected",325,599,2,5.78382518232974
"110","A05","Iron","NonInfected",325,627,2,5.78382518232974
"111","A05","Iron","NonInfected",340,655,2,5.82894561761021
"112","A05","Iron","NonInfected",350,668,2,5.85793315448346
"113","A05","Iron","NonInfected",370,723,2,5.91350300563827
"114","A05","Iron","NonInfected",365,751,2,5.89989735358249
"115","A05","Iron","NonInfected",380,781,2,5.94017125272043
"116","A06","Iron","NonInfected",115,122,2,4.74493212836325
"117","A06","Iron","NonInfected",130,150,2,4.86753445045558
"118","A06","Iron","NonInfected",155,166,2,5.04342511691925
"119","A06","Iron","NonInfected",165,179,2,5.10594547390058
"120","A06","Iron","NonInfected",185,219,2,5.22035582507832
"121","A06","Iron","NonInfected",200,247,2,5.29831736654804
"122","A06","Iron","NonInfected",210,276,2,5.34710753071747
"123","A06","Iron","NonInfected",210,296,2,5.34710753071747
"124","A06","Iron","NonInfected",225,324,2,5.41610040220442
"125","A06","Iron","NonInfected",245,354,2,5.50125821054473
"126","A06","Iron","NonInfected",260,380,2,5.56068163101553
"127","A06","Iron","NonInfected",265,445,2,5.57972982598622
"128","A06","Iron","NonInfected",295,478,2,5.68697535633982
"129","A06","Iron","NonInfected",305,508,2,5.72031177660741
"130","A06","Iron","NonInfected",310,536,2,5.73657229747919
"131","A06","Iron","NonInfected",305,569,2,5.72031177660741
"132","A06","Iron","NonInfected",310,599,2,5.73657229747919
"133","A06","Iron","NonInfected",315,627,2,5.75257263882563
"134","A06","Iron","NonInfected",320,655,2,5.76832099579377
"135","A06","Iron","NonInfected",325,668,2,5.78382518232974
"136","A06","Iron","NonInfected",345,723,2,5.84354441703136
"137","A06","Iron","NonInfected",345,751,2,5.84354441703136
"138","A06","Iron","NonInfected",365,781,2,5.89989735358249
"139","A07","Iron","NonInfected",115,122,2,4.74493212836325
"140","A07","Iron","NonInfected",135,150,2,4.90527477843843
"141","A07","Iron","NonInfected",150,166,2,5.01063529409626
"142","A07","Iron","NonInfected",165,179,2,5.10594547390058
"143","A07","Iron","NonInfected",175,219,2,5.16478597392351
"144","A07","Iron","NonInfected",195,247,2,5.27299955856375
"145","A07","Iron","NonInfected",215,276,2,5.37063802812766
"146","A07","Iron","NonInfected",225,296,2,5.41610040220442
"147","A07","Iron","NonInfected",225,324,2,5.41610040220442
"148","A07","Iron","NonInfected",250,354,2,5.52146091786225
"149","A07","Iron","NonInfected",255,380,2,5.54126354515843
"150","A07","Iron","NonInfected",280,445,2,5.63478960316925
"151","A07","Iron","NonInfected",295,478,2,5.68697535633982
"152","A07","Iron","NonInfected",300,508,2,5.7037824746562
"153","A07","Iron","NonInfected",325,536,2,5.78382518232974
"154","A07","Iron","NonInfected",320,569,2,5.76832099579377
"155","A07","Iron","NonInfected",320,599,2,5.76832099579377
"156","A07","Iron","NonInfected",335,627,2,5.81413053182507
"157","A07","Iron","NonInfected",340,655,2,5.82894561761021
"158","A07","Iron","NonInfected",350,668,2,5.85793315448346
"159","A07","Iron","NonInfected",380,723,2,5.94017125272043
"160","A07","Iron","NonInfected",380,751,2,5.94017125272043
"161","A07","Iron","NonInfected",405,781,2,6.00388706710654
"162","A08","NoIron","Infected",140,122,3,4.9416424226093
"163","A08","NoIron","Infected",165,150,3,5.10594547390058
"164","A08","NoIron","Infected",170,166,3,5.13579843705026
"165","A08","NoIron","Infected",180,179,3,5.19295685089021
"166","A08","NoIron","Infected",200,219,3,5.29831736654804
"167","A08","NoIron","Infected",210,247,3,5.34710753071747
"168","A08","NoIron","Infected",235,276,3,5.45958551414416
"169","A08","NoIron","Infected",250,296,3,5.52146091786225
"170","A08","NoIron","Infected",260,324,3,5.56068163101553
"171","A08","NoIron","Infected",265,354,3,5.57972982598622
"172","A08","NoIron","Infected",280,380,3,5.63478960316925
"173","A08","NoIron","Infected",300,445,3,5.7037824746562
"174","A08","NoIron","Infected",325,478,3,5.78382518232974
"175","A08","NoIron","Infected",338,508,3,5.82304589548302
"176","A08","NoIron","Infected",350,536,3,5.85793315448346
"177","A08","NoIron","Infected",365,569,3,5.89989735358249
"178","A08","NoIron","Infected",380,599,3,5.94017125272043
"179","A08","NoIron","Infected",400,627,3,5.99146454710798
"180","A08","NoIron","Infected",410,655,3,6.01615715969835
"181","A08","NoIron","Infected",430,668,3,6.06378520868761
"182","A08","NoIron","Infected",425,723,3,6.05208916892442
"183","A08","NoIron","Infected",410,751,3,6.01615715969835
"184","A08","NoIron","Infected",395,781,3,5.97888576490112
"185","A09","NoIron","Infected",100,122,3,4.60517018598809
"186","A09","NoIron","Infected",115,150,3,4.74493212836325
"187","A09","NoIron","Infected",130,166,3,4.86753445045558
"188","A09","NoIron","Infected",135,179,3,4.90527477843843
"189","A09","NoIron","Infected",145,219,3,4.97673374242057
"190","A09","NoIron","Infected",185,247,3,5.22035582507832
"191","A09","NoIron","Infected",175,276,3,5.16478597392351
"192","A09","NoIron","Infected",185,296,3,5.22035582507832
"193","A09","NoIron","Infected",185,324,3,5.22035582507832
"194","A09","NoIron","Infected",190,354,3,5.24702407216049
"195","A09","NoIron","Infected",200,380,3,5.29831736654804
"196","A09","NoIron","Infected",225,445,3,5.41610040220442
"197","A09","NoIron","Infected",245,478,3,5.50125821054473
"198","A09","NoIron","Infected",250,508,3,5.52146091786225
"199","A09","NoIron","Infected",265,536,3,5.57972982598622
"200","A09","NoIron","Infected",265,569,3,5.57972982598622
"201","A09","NoIron","Infected",280,599,3,5.63478960316925
"202","A09","NoIron","Infected",290,627,3,5.66988092298052
"203","A09","NoIron","Infected",305,655,3,5.72031177660741
"204","A09","NoIron","Infected",315,668,3,5.75257263882563
"205","A09","NoIron","Infected",330,723,3,5.79909265446053
"206","A09","NoIron","Infected",340,751,3,5.82894561761021
"207","A09","NoIron","Infected",350,781,3,5.85793315448346
"208","A10","NoIron","Infected",110,122,3,4.70048036579242
"209","A10","NoIron","Infected",130,150,3,4.86753445045558
"210","A10","NoIron","Infected",135,166,3,4.90527477843843
"211","A10","NoIron","Infected",145,179,3,4.97673374242057
"212","A10","NoIron","Infected",150,219,3,5.01063529409626
"213","A10","NoIron","Infected",165,247,3,5.10594547390058
"214","A10","NoIron","Infected",175,276,3,5.16478597392351
"215","A10","NoIron","Infected",185,296,3,5.22035582507832
"216","A10","NoIron","Infected",185,324,3,5.22035582507832
"217","A10","NoIron","Infected",185,354,3,5.22035582507832
"218","A10","NoIron","Infected",195,380,3,5.27299955856375
"219","A10","NoIron","Infected",218,445,3,5.38449506278909
"220","A10","NoIron","Infected",230,478,3,5.4380793089232
"221","A10","NoIron","Infected",230,508,3,5.4380793089232
"222","A10","NoIron","Infected",245,536,3,5.50125821054473
"223","A10","NoIron","Infected",245,569,3,5.50125821054473
"224","A10","NoIron","Infected",255,599,3,5.54126354515843
"225","A10","NoIron","Infected",270,627,3,5.59842195899838
"226","A10","NoIron","Infected",265,655,3,5.57972982598622
"227","A10","NoIron","Infected",280,668,3,5.63478960316925
"228","A10","NoIron","Infected",295,723,3,5.68697535633982
"229","A10","NoIron","Infected",305,751,3,5.72031177660741
"230","A10","NoIron","Infected",300,781,3,5.7037824746562
"231","A11","NoIron","Infected",125,122,3,4.8283137373023
"232","A11","NoIron","Infected",150,150,3,5.01063529409626
"233","A11","NoIron","Infected",160,166,3,5.07517381523383
"234","A11","NoIron","Infected",175,179,3,5.16478597392351
"235","A11","NoIron","Infected",190,219,3,5.24702407216049
"236","A11","NoIron","Infected",205,247,3,5.32300997913841
"237","A11","NoIron","Infected",220,276,3,5.39362754635236
"238","A11","NoIron","Infected",235,296,3,5.45958551414416
"239","A11","NoIron","Infected",235,324,3,5.45958551414416
"240","A11","NoIron","Infected",245,354,3,5.50125821054473
"241","A11","NoIron","Infected",255,380,3,5.54126354515843
"242","A11","NoIron","Infected",273,445,3,5.60947179518496
"243","A11","NoIron","Infected",295,478,3,5.68697535633982
"244","A11","NoIron","Infected",300,508,3,5.7037824746562
"245","A11","NoIron","Infected",305,536,3,5.72031177660741
"246","A11","NoIron","Infected",300,569,3,5.7037824746562
"247","A11","NoIron","Infected",300,599,3,5.7037824746562
"248","A11","NoIron","Infected",305,627,3,5.72031177660741
"249","A11","NoIron","Infected",310,655,3,5.73657229747919
"250","A11","NoIron","Infected",320,668,3,5.76832099579377
"251","A11","NoIron","Infected",350,723,3,5.85793315448346
"252","A11","NoIron","Infected",365,751,3,5.89989735358249
"253","A11","NoIron","Infected",380,781,3,5.94017125272043
"254","A12","NoIron","Infected",110,122,3,4.70048036579242
"255","A12","NoIron","Infected",125,150,3,4.8283137373023
"256","A12","NoIron","Infected",135,166,3,4.90527477843843
"257","A12","NoIron","Infected",150,179,3,5.01063529409626
"258","A12","NoIron","Infected",160,219,3,5.07517381523383
"259","A12","NoIron","Infected",175,247,3,5.16478597392351
"260","A12","NoIron","Infected",190,276,3,5.24702407216049
"261","A12","NoIron","Infected",200,296,3,5.29831736654804
"262","A12","NoIron","Infected",200,324,3,5.29831736654804
"263","A12","NoIron","Infected",205,354,3,5.32300997913841
"264","A12","NoIron","Infected",225,380,3,5.41610040220442
"265","A12","NoIron","Infected",246,445,3,5.50533153593236
"266","A12","NoIron","Infected",260,478,3,5.56068163101553
"267","A12","NoIron","Infected",265,508,3,5.57972982598622
"268","A12","NoIron","Infected",260,536,3,5.56068163101553
"269","A12","NoIron","Infected",280,569,3,5.63478960316925
"270","A12","NoIron","Infected",295,599,3,5.68697535633982
"271","A12","NoIron","Infected",305,627,3,5.72031177660741
"272","A12","NoIron","Infected",305,655,3,5.72031177660741
"273","A12","NoIron","Infected",310,668,3,5.73657229747919
"274","A12","NoIron","Infected",325,723,3,5.78382518232974
"275","A12","NoIron","Infected",335,751,3,5.81413053182507
"276","A12","NoIron","Infected",330,781,3,5.79909265446053
"277","A13","NoIron","Infected",125,122,3,4.8283137373023
"278","A13","NoIron","Infected",150,150,3,5.01063529409626
"279","A13","NoIron","Infected",160,166,3,5.07517381523383
"280","A13","NoIron","Infected",170,179,3,5.13579843705026
"281","A13","NoIron","Infected",185,219,3,5.22035582507832
"282","A13","NoIron","Infected",195,247,3,5.27299955856375
"283","A13","NoIron","Infected",210,276,3,5.34710753071747
"284","A13","NoIron","Infected",225,296,3,5.41610040220442
"285","A13","NoIron","Infected",230,324,3,5.4380793089232
"286","A13","NoIron","Infected",225,354,3,5.41610040220442
"287","A13","NoIron","Infected",250,380,3,5.52146091786225
"288","A13","NoIron","Infected",278,445,3,5.62762111369064
"289","A13","NoIron","Infected",290,478,3,5.66988092298052
"290","A13","NoIron","Infected",295,508,3,5.68697535633982
"291","A13","NoIron","Infected",305,536,3,5.72031177660741
"292","A13","NoIron","Infected",305,569,3,5.72031177660741
"293","A13","NoIron","Infected",330,599,3,5.79909265446053
"294","A13","NoIron","Infected",350,627,3,5.85793315448346
"295","A13","NoIron","Infected",355,655,3,5.87211778947542
"296","A13","NoIron","Infected",370,668,3,5.91350300563827
"297","A13","NoIron","Infected",380,723,3,5.94017125272043
"298","A13","NoIron","Infected",400,751,3,5.99146454710798
"299","A13","NoIron","Infected",410,781,3,6.01615715969835
"300","A14","NoIron","Infected",125,122,3,4.8283137373023
"301","A14","NoIron","Infected",140,150,3,4.9416424226093
"302","A14","NoIron","Infected",150,166,3,5.01063529409626
"303","A14","NoIron","Infected",160,179,3,5.07517381523383
"304","A14","NoIron","Infected",160,219,3,5.07517381523383
"305","A14","NoIron","Infected",185,247,3,5.22035582507832
"306","A14","NoIron","Infected",195,276,3,5.27299955856375
"307","A14","NoIron","Infected",200,296,3,5.29831736654804
"308","A14","NoIron","Infected",205,324,3,5.32300997913841
"309","A14","NoIron","Infected",200,354,3,5.29831736654804
"310","A14","NoIron","Infected",220,380,3,5.39362754635236
"311","A14","NoIron","Infected",242,445,3,5.48893772615669
"312","A14","NoIron","Infected",255,478,3,5.54126354515843
"313","A14","NoIron","Infected",265,508,3,5.57972982598622
"314","A14","NoIron","Infected",275,536,3,5.61677109766657
"315","A14","NoIron","Infected",290,569,3,5.66988092298052
"316","A14","NoIron","Infected",300,599,3,5.7037824746562
"317","A14","NoIron","Infected",315,627,3,5.75257263882563
"318","A14","NoIron","Infected",320,655,3,5.76832099579377
"319","A14","NoIron","Infected",335,668,3,5.81413053182507
"320","A14","NoIron","Infected",355,723,3,5.87211778947542
"321","A14","NoIron","Infected",375,751,3,5.92692602597041
"322","A14","NoIron","Infected",375,781,3,5.92692602597041
"323","A15","NoIron","Infected",115,122,3,4.74493212836325
"324","A15","NoIron","Infected",135,150,3,4.90527477843843
"325","A15","NoIron","Infected",145,166,3,4.97673374242057
"326","A15","NoIron","Infected",160,179,3,5.07517381523383
"327","A15","NoIron","Infected",180,219,3,5.19295685089021
"328","A15","NoIron","Infected",185,247,3,5.22035582507832
"329","A15","NoIron","Infected",200,276,3,5.29831736654804
"330","A15","NoIron","Infected",205,296,3,5.32300997913841
"331","A15","NoIron","Infected",220,324,3,5.39362754635236
"332","A15","NoIron","Infected",220,354,3,5.39362754635236
"333","A15","NoIron","Infected",230,380,3,5.4380793089232
"334","A15","NoIron","Infected",266,445,3,5.5834963087817
"335","A15","NoIron","Infected",275,478,3,5.61677109766657
"336","A15","NoIron","Infected",285,508,3,5.65248918026865
"337","A15","NoIron","Infected",295,536,3,5.68697535633982
"338","A15","NoIron","Infected",305,569,3,5.72031177660741
"339","A15","NoIron","Infected",315,599,3,5.75257263882563
"340","A15","NoIron","Infected",320,627,3,5.76832099579377
"341","A15","NoIron","Infected",335,655,3,5.81413053182507
"342","A15","NoIron","Infected",345,668,3,5.84354441703136
"343","A15","NoIron","Infected",360,723,3,5.88610403145016
"344","A15","NoIron","Infected",360,751,3,5.88610403145016
"345","A15","NoIron","Infected",360,781,3,5.88610403145016
"346","A16","NoIron","Infected",110,122,3,4.70048036579242
"347","A16","NoIron","Infected",130,150,3,4.86753445045558
"348","A16","NoIron","Infected",150,166,3,5.01063529409626
"349","A16","NoIron","Infected",155,179,3,5.04342511691925
"350","A16","NoIron","Infected",165,219,3,5.10594547390058
"351","A16","NoIron","Infected",175,247,3,5.16478597392351
"352","A16","NoIron","Infected",190,276,3,5.24702407216049
"353","A16","NoIron","Infected",200,296,3,5.29831736654804
"354","A16","NoIron","Infected",210,324,3,5.34710753071747
"355","A16","NoIron","Infected",215,354,3,5.37063802812766
"356","A16","NoIron","Infected",230,380,3,5.4380793089232
"357","A16","NoIron","Infected",234,445,3,5.4553211153577
"358","A16","NoIron","Infected",275,478,3,5.61677109766657
"359","A16","NoIron","Infected",280,508,3,5.63478960316925
"360","A16","NoIron","Infected",300,536,3,5.7037824746562
"361","A16","NoIron","Infected",310,569,3,5.73657229747919
"362","A16","NoIron","Infected",325,599,3,5.78382518232974
"363","A16","NoIron","Infected",320,627,3,5.76832099579377
"364","A16","NoIron","Infected",335,655,3,5.81413053182507
"365","A16","NoIron","Infected",345,668,3,5.84354441703136
"366","A16","NoIron","Infected",360,723,3,5.88610403145016
"367","A16","NoIron","Infected",380,751,3,5.94017125272043
"368","A16","NoIron","Infected",375,781,3,5.92692602597041
"369","A17","Iron","Infected",100,122,4,4.60517018598809
"370","A17","Iron","Infected",120,150,4,4.78749174278205
"371","A17","Iron","Infected",125,166,4,4.8283137373023
"372","A17","Iron","Infected",140,179,4,4.9416424226093
"373","A17","Iron","Infected",150,219,4,5.01063529409626
"374","A17","Iron","Infected",170,247,4,5.13579843705026
"375","A17","Iron","Infected",185,276,4,5.22035582507832
"376","A17","Iron","Infected",190,296,4,5.24702407216049
"377","A17","Iron","Infected",195,324,4,5.27299955856375
"378","A17","Iron","Infected",190,354,4,5.24702407216049
"379","A17","Iron","Infected",210,380,4,5.34710753071747
"380","A17","Iron","Infected",214,445,4,5.36597601502185
"381","A17","Iron","Infected",225,478,4,5.41610040220442
"382","A17","Iron","Infected",235,508,4,5.45958551414416
"383","A17","Iron","Infected",255,536,4,5.54126354515843
"384","A17","Iron","Infected",240,569,4,5.48063892334199
"385","A17","Iron","Infected",245,599,4,5.50125821054473
"386","A17","Iron","Infected",280,627,4,5.63478960316925
"387","A17","Iron","Infected",285,655,4,5.65248918026865
"388","A17","Iron","Infected",270,668,4,5.59842195899838
"389","A17","Iron","Infected",280,723,4,5.63478960316925
"390","A17","Iron","Infected",280,751,4,5.63478960316925
"391","A17","Iron","Infected",270,781,4,5.59842195899838
"392","A18","Iron","Infected",125,122,4,4.8283137373023
"393","A18","Iron","Infected",145,150,4,4.97673374242057
"394","A18","Iron","Infected",150,166,4,5.01063529409626
"395","A18","Iron","Infected",170,179,4,5.13579843705026
"396","A18","Iron","Infected",195,219,4,5.27299955856375
"397","A18","Iron","Infected",200,247,4,5.29831736654804
"398","A18","Iron","Infected",215,276,4,5.37063802812766
"399","A18","Iron","Infected",235,296,4,5.45958551414416
"400","A18","Iron","Infected",225,324,4,5.41610040220442
"401","A18","Iron","Infected",225,354,4,5.41610040220442
"402","A18","Iron","Infected",230,380,4,5.4380793089232
"403","A18","Iron","Infected",259,445,4,5.55682806169954
"404","A18","Iron","Infected",275,478,4,5.61677109766657
"405","A18","Iron","Infected",290,508,4,5.66988092298052
"406","A18","Iron","Infected",305,536,4,5.72031177660741
"407","A18","Iron","Infected",305,569,4,5.72031177660741
"408","A18","Iron","Infected",330,599,4,5.79909265446053
"409","A18","Iron","Infected",350,627,4,5.85793315448346
"410","A18","Iron","Infected",360,655,4,5.88610403145016
"411","A18","Iron","Infected",370,668,4,5.91350300563827
"412","A18","Iron","Infected",395,723,4,5.97888576490112
"413","A18","Iron","Infected",405,751,4,6.00388706710654
"414","A18","Iron","Infected",415,781,4,6.0282785202307
"415","A19","Iron","Infected",110,122,4,4.70048036579242
"416","A19","Iron","Infected",135,150,4,4.90527477843843
"417","A19","Iron","Infected",140,166,4,4.9416424226093
"418","A19","Iron","Infected",150,179,4,5.01063529409626
"419","A19","Iron","Infected",155,219,4,5.04342511691925
"420","A19","Iron","Infected",170,247,4,5.13579843705026
"421","A19","Iron","Infected",180,276,4,5.19295685089021
"422","A19","Iron","Infected",180,296,4,5.19295685089021
"423","A19","Iron","Infected",190,324,4,5.24702407216049
"424","A19","Iron","Infected",185,354,4,5.22035582507832
"425","A19","Iron","Infected",205,380,4,5.32300997913841
"426","A19","Iron","Infected",208,445,4,5.33753807970132
"427","A19","Iron","Infected",215,478,4,5.37063802812766
"428","A19","Iron","Infected",220,508,4,5.39362754635236
"429","A19","Iron","Infected",230,536,4,5.4380793089232
"430","A19","Iron","Infected",225,569,4,5.41610040220442
"431","A19","Iron","Infected",245,599,4,5.50125821054473
"432","A19","Iron","Infected",260,627,4,5.56068163101553
"433","A19","Iron","Infected",255,655,4,5.54126354515843
"434","A19","Iron","Infected",265,668,4,5.57972982598622
"435","A19","Iron","Infected",285,723,4,5.65248918026865
"436","A19","Iron","Infected",290,751,4,5.66988092298052
"437","A19","Iron","Infected",300,781,4,5.7037824746562
"438","A20","Iron","Infected",115,122,4,4.74493212836325
"439","A20","Iron","Infected",135,150,4,4.90527477843843
"440","A20","Iron","Infected",145,166,4,4.97673374242057
"441","A20","Iron","Infected",155,179,4,5.04342511691925
"442","A20","Iron","Infected",170,219,4,5.13579843705026
"443","A20","Iron","Infected",195,247,4,5.27299955856375
"444","A20","Iron","Infected",210,276,4,5.34710753071747
"445","A20","Iron","Infected",220,296,4,5.39362754635236
"446","A20","Iron","Infected",225,324,4,5.41610040220442
"447","A20","Iron","Infected",220,354,4,5.39362754635236
"448","A20","Iron","Infected",250,380,4,5.52146091786225
"449","A20","Iron","Infected",275,445,4,5.61677109766657
"450","A20","Iron","Infected",275,478,4,5.61677109766657
"451","A20","Iron","Infected",275,508,4,5.61677109766657
"452","A20","Iron","Infected",290,536,4,5.66988092298052
"453","A20","Iron","Infected",280,569,4,5.63478960316925
"454","A20","Iron","Infected",285,599,4,5.65248918026865
"455","A20","Iron","Infected",295,627,4,5.68697535633982
"456","A20","Iron","Infected",285,655,4,5.65248918026865
"457","A20","Iron","Infected",275,668,4,5.61677109766657
"458","A20","Iron","Infected",295,723,4,5.68697535633982
"459","A20","Iron","Infected",320,751,4,5.76832099579377
"460","A20","Iron","Infected",335,781,4,5.81413053182507
"461","A21","Iron","Infected",120,122,4,4.78749174278205
"462","A21","Iron","Infected",140,150,4,4.9416424226093
"463","A21","Iron","Infected",145,166,4,4.97673374242057
"464","A21","Iron","Infected",165,179,4,5.10594547390058
"465","A21","Iron","Infected",175,219,4,5.16478597392351
"466","A21","Iron","Infected",190,247,4,5.24702407216049
"467","A21","Iron","Infected",205,276,4,5.32300997913841
"468","A21","Iron","Infected",225,296,4,5.41610040220442
"469","A21","Iron","Infected",220,324,4,5.39362754635236
"470","A21","Iron","Infected",215,354,4,5.37063802812766
"471","A21","Iron","Infected",230,380,4,5.4380793089232
"472","A21","Iron","Infected",250,445,4,5.52146091786225
"473","A21","Iron","Infected",250,478,4,5.52146091786225
"474","A21","Iron","Infected",260,508,4,5.56068163101553
"475","A21","Iron","Infected",280,536,4,5.63478960316925
"476","A21","Iron","Infected",275,569,4,5.61677109766657
